ORDER-4 ----
(0.7393500621026892, 6.411906806709294e-98)
SpearmanrResult(correlation=0.7358685126024044, pvalue=1.4927863412032648e-96)


ORDER-3 -----
(0.7393500621026892, 6.411906806709294e-98)
SpearmanrResult(correlation=0.7358685126024044, pvalue=1.4927863412032648e-96)

ORDER-2 ------
(0.7393500621026892, 6.411906806709294e-98)
SpearmanrResult(correlation=0.7358685126024044, pvalue=1.4927863412032648e-96)

ORDER-1 ----------
(0.7393500621026892, 6.411906806709294e-98)
SpearmanrResult(correlation=0.7358685126024044, pvalue=1.4927863412032648e-96)
